obs,name,address,total_staff,total_non_staff
162,Frito-Lay (Distribution Warehouse),"14600 Proctor Ave, City of Industry, CA, 91746",10,0
163,Frito-Lay La Mirada,"16701 Trojan Way, La Mirada, CA, 90638",16,0
164,Gardena Police Department,"1718 W 162nd St, Gardena, CA, 90247",21,0
165,Gelson's Market - Manhattan Beach,"707 N Sepulveda Blvd, Manhattan Beach, CA, 90266",25,0
166,Gelson's Market - Marina Del Rey,"13455 Maxella Ave, Marina Del Rey, CA, 90292",6,0
167,GFF Manufacturing Plant,"145 Willow Ave, City of Industry, CA, 91746",9,0
168,Gibson Overseas,"2410 Yates Ave, Commerce, CA, 90040",50,0
169,Gilead Sciences #1,"1800 Wheeler St, La Verne, CA, 91750",12,0
170,Gilead Sciences #2,"650 Cliffside Dr, San Dimas, CA, 91773",6,0
171,Glenair,"1763 Flower St, Glendale, CA, 91201",19,0
172,Glenair - Air Way,"1211 Air Way, Glendale, CA, 91201",14,0
173,Gold Coast Ingredients,"2429 Yates Ave, Commerce, CA, 90040",19,0
174,Golden Bolt LLC,"9371 Canoga Ave, Chatsworth, CA, 91311",8,0
175,Golden State Foods Corp.,"640 S 6th Ave, City of Industry, CA, 91746",54,0
176,Goodwill Industries,"1500 W 6th St, Los Angeles, CA, 90017",7,0
177,"Great Western Packaging, LLC","8230 Haskell Ave, Van Nuys, CA, 91406",13,0
178,Griffith Company Brea,"4000 Oak Grove Rd., Pasadena, CA, 91103",6,0
179,"HACLA, Nickerson Gardens Apartments","1590 E 114th St, Los Angeles, CA, 90059",5,0
180,"Hacor, Inc.","8506 Osage Ave, Los Angeles, CA, 90045",42,0
181,Hain Celestial,"5630 Rickenbacker Rd, Bell, CA, 90201",17,0
182,Hall's Culligan Water,"15580 Roxford St, Sylmar, CA, 91342",3,0
183,Hannibal Industries,"3851 S Santa Fe Ave, Vernon, CA, 90058",31,0
184,Hanson Rivet,"13241 Weidner St, Pacoima, CA, 91331",5,0
185,Harbor Freight Tools,"26850 Agoura Rd, Agoura, CA, 91301",4,0
186,Harvest Farms Plant B,"45000 Yucca Ave, Lancaster, CA, 93534",17,0
187,Hawker Pacific Aerospace,"11240 Sherman Way, Sun Valley, CA, 91352",41,0
188,Hawthorne Police Department,"12501 Hawthorne Blvd, Hawthorne, CA, 90250",23,0
189,"Henkels & McCoy, Inc.","2840 Ficus St, Pomona, CA, 91766",6,0
190,HiRel Connectors #1,"212 S Cambridge Ave, Claremont, CA, 91711",25,0
191,HiRel Connectors #2,"260 York Pl, Claremont, CA, 91711",10,0
192,HiRel Connectors #3,"759 W Arrow Hwy, Suite Af, Claremont, CA, 91711",12,0
193,Holland Flower Market,"2000 E 27th St, Vernon, CA, 90058",13,0
194,Hollander Sleep Products,"8500 Rex Rd, Pico Rivera, CA, 90660",15,0
195,Home Depot - Alhambra #6610,"500 S Marengo Ave, Alhambra, CA, 91803",43,0
196,Home Depot - Cypress Park #6689,"2055 N Figueroa St, Los Angeles, CA, 90065",45,0
197,Home Depot - Downey #6627,"7121 Firestone Blvd, Downey, CA, 90241",27,0
198,Home Depot - Hyde Park #1039,"1830 W Slauson Ave, Los Angeles, CA, 90047",40,0
199,Home Depot - Long Beach #1062,"751 E Spring St, Signal Hill, CA, 90755",19,0
200,Home Depot - Marina Del Rey #6611,"12975 W Jefferson Blvd, Los Angeles, CA, 90066",15,0
201,Home Depot - North Hollywood #6613,"11600 Sherman Way, North Hollywood, CA, 91605",51,0
202,Home Depot - Panorama City #6644,"7870 Van Nuys Blvd, Panorama City, CA, 91402",35,0
203,Home Depot - Van Nuys #6661,"16800 Roscoe Blvd, Van Nuys, CA, 91406",35,0
204,Homeboy Industries,"130 Bruno St, Los Angeles, CA, 90012",9,0
205,"Honda Performance Development, Inc.","25145 Anza Dr, Valencia, CA, 91355",6,0
206,"Honda, Downtown LA","780 W Martin Luther King Jr Blvd, Los Angeles, CA, 90037",11,0
207,"Honda, Goudy","1400 W Main St, Alhambra, CA, 91801",6,0
208,Honeywell Aerospace,"2525 W 190th St, Torrance, CA, 90504",14,0
209,Howard Building Corporation - Construction Site,"8687 Melrose Ave, West Hollywood, CA, 90069",18,0
210,Howmet Aerospace #2,"3000 Lomita Blvd, Torrance, CA, 90505",50,0
211,"Huck International, Inc.","900 E Watson Center Rd, Carson, CA, 90745",29,0
212,Hydra Electric Aerospace Manufacturing,"3151 N Kenwood St, Burbank, CA, 91505",12,0
213,"Hydroform USA, Inc.","2848 E 208th St, Carson, CA, 90810",59,0
214,IKEA Burbank,"600 Ikea Way, Burbank, CA, 91502",40,0
215,IKEA Carson,"20700 Avalon Blvd, Carson, CA, 90746",22,0
216,IMC Powered By Parts Authority,"8901 Canoga Ave, Canoga Park, CA, 91304",36,0
217,"Imperfect Foods, Walnut","351 Cheryl Ln, Walnut, CA, 91789",44,0
218,In-N-Out Burger - Palmdale,"142 E Palmdale Blvd, Palmdale, CA, 93550",7,0
219,In-N-Out Burger - Pomona,"2505 S Garey Ave, Pomona, CA, 91766",13,0
220,In-N-Out Burger - Sherman Oaks,"4444 Van Nuys Blvd, Sherman Oaks, CA, 91403",8,0
221,In-N-Out Burger Warehouse,"13502 Hamburger Ln, Baldwin Park, CA, 91706",44,0
222,InClusion Services,"7255 Greenleaf Ave Ste 20, Whittier, CA, 90602",7,1
223,Infiniti of Valencia,"24055 Magic Mountain Pkwy, Santa Clarita, CA, 91355",8,0
224,Integrated Food Service,"310 W Alondra Blvd, Gardena, CA, 90248",36,0
225,International Paper Co. - Santa Fe Springs #1,"9211 Norwalk Blvd, Santa Fe Springs, CA, 90670",14,0
226,International Paper Co. - Santa Fe Springs #2,"11211 Greenstone Ave, Santa Fe Springs, CA, 90670",26,0
227,IOG Products,"9737 Lurline Ave, Chatsworth, CA, 91311",3,0
228,Iron Mountain Secure Destruction,"12128 Burke St, Santa Fe Springs, CA, 90670",13,0
229,Islands #26,"2647 Pacific Coast Hwy, Torrance, CA, 90505",5,0
230,Jack in The Box #5309,"1799 E Avenue J, Lancaster, CA, 93535",13,0
231,Jamba Juice Compton,"200 Towne Center Dr, Compton, CA, 90220",3,0
232,Jarrow Industries,"12246 Hawkins St, Santa Fe Springs, CA, 90670",5,0
233,JC Sales Commerce,"7030 E Slauson Ave, Commerce, CA, 90040",36,0
234,JC Sales Vernon,"2600 S Soto St, Vernon, CA, 90058",16,0
235,"JCPenney, Northridge Fashion Center","9301 Tampa Ave, Northridge, CA, 91324",26,0
236,Jersey Mike's - Santa Clarita,"19159 Golden Valley Rd, Santa Clarita, CA, 91387",4,0
237,Jo's Candies LLC,"2530 W 237th St, Torrance, CA, 90505",7,0
238,John Michael Design LLC,"11220 Wright Rd, Lynwood, CA, 90262",22,0
239,JP Original Corporation,"19101 E Walnut Dr N, City of Industry, CA, 91748",4,0
240,Kaiser Aluminum,"6250 Bandini Blvd, Commerce, CA, 90040",23,0
241,Kaiser Permanente Central Refill Pharmacy Center,"9521 Dalen St, Downey, CA, 90242",47,0
242,Kaiser Permanente Regional Lab,"4580 Electronics Pl, Los Angeles, CA, 90039",8,0
243,Kellwood Apparel,"13071 Temple Ave, City of Industry, CA, 91746",21,0
244,Kia of Carson,"22020 Recreation Rd, Carson, CA, 90745",33,0
245,Kia of Cerritos,"18201 Studebaker Rd, Cerritos, CA, 90703",14,0
246,Killer Merch,"9505 Mason Ave, Chatsworth, CA, 91311",10,0
247,King's Hawaiian Manufacturing Plant,"19161 Harborgate Way, Torrance, CA, 90501",37,0
248,Klune Industries,"7323 Coldwater Canyon Ave, North Hollywood, CA, 91605",16,0
249,Kohl's Redondo Beach,"1799 Hawthorne Blvd, Redondo Beach, CA, 90278",18,0
250,Kohl's Valencia,"24200 Valencia Blvd, Valencia, CA, 91355",9,0
251,LA Airforce Base,"482 N Aviation Blvd, El Segundo, CA, 90245",3,0
252,LA Apparel #3,"1020 E 59th St, Los Angeles, CA, 90001",50,0
253,LA City Bureau of Street Lighting,"4550 Santa Monica Blvd, Los Angeles, CA, 90029",13,0
254,LA City Parks - The Kleimer Building,"3900 Chevy Chase Dr, Los Angeles, CA, 90039",10,0
255,LA County DCFS - Compton-Carson Office,"1 Civic Plaza Dr, Carson, CA, 90745",28,0
256,LA County DCFS - Covina Annex Regional Office,"1373 Center Court Dr, Covina, CA, 91724",4,0
257,LA County DCFS - Glendora,"725 S Grand Ave, Glendora, CA, 91740",18,0
258,LA County DCFS - Lancaster,"300 E Avenue K6, Lancaster, CA, 93535",23,0
259,LA County DCFS - Metro North,"1933 S Broadway, Los Angeles, CA, 90007",79,0
260,LA County DCFS - San Dimas,"955 Overland Ct, Suite 100, San Dimas, CA, 91773",15,0
261,LA County DCFS - Santa Fe Springs,"10355 Slusher Dr, Santa Fe Springs, CA, 90670",16,0
262,LA County DCFS - South LA Administration,"8300 S Vermont Ave, Los Angeles, CA, 90044",30,0
263,LA County DCFS - Van Nuys,"7555 Van Nuys Blvd, Van Nuys, CA, 91405",17,0
264,"LA County DPSS - Inglewood, Customer Service Center II, 11th Floor","9800 S La Cienega Blvd, 11th Floor, Inglewood, CA, 90301",26,0
265,LA County DPSS - South Special,"17600 B Santa Fe Ave, East Rancho Dominguez, CA, 90221",51,0
266,"LA County DPSS - Warehouse, Logistics, and Asset Management Section","13409 Carmenita Rd, Santa Fe Springs, CA, 90670",6,0
267,LA County Library - Administrative Office,"7400 Imperial Hwy, Downey, CA, 90242",13,0
268,LA County Registrar-Recorder/County Clerk,"12680 Corral Pl, Santa Fe Springs, CA, 90670",5,0
